Substrate,Products,Kinetic Law,Modifiers,Parameters
RelBp50IkBd,RelBnp50nIkBdn,Mass Action,,k1_RelBp50IkBdnucImport-NFkB
RelBp52IkBa,RelBnp52nIkBan,Mass Action,,k1_RelBp52IkBanucImport-NFkB
RelBp52IkBb,RelBnp52nIkBbn,Mass Action,,k1_RelBp52IkBbnucImport-NFkB
RelBp52IkBe,RelBnp52nIkBen,Mass Action,,k1_RelBp52IkBenucImport-NFkB
RelBp52IkBd,RelBnp52nIkBdn,Mass Action,,k1_RelBp52IkBdnucImport-NFkB
cRelp50IkBa,cRelnp50nIkBan,Mass Action,,k1_cRelp50IkBanucImport-NFkB
cRelp50IkBb,cRelnp50nIkBbn,Mass Action,,k1_cRelp50IkBbnucImport-NFkB
cRelp50IkBe,cRelnp50nIkBen,Mass Action,,k1_cRelp50IkBenucImport-NFkB
cRelp50IkBd,cRelnp50nIkBdn,Mass Action,,k1_cRelp50IkBdnucImport-NFkB
cRelp52IkBa,cRelnp52nIkBan,Mass Action,,k1_cRelp52IkBanucImport-NFkB
cRelp52IkBb,cRelnp52nIkBbn,Mass Action,,k1_cRelp52IkBbnucImport-NFkB
cRelp52IkBe,cRelnp52nIkBen,Mass Action,,k1_cRelp52IkBenucImport-NFkB
cRelp52IkBd,cRelnp52nIkBdn,Mass Action,,k1_cRelp52IkBdnucImport-NFkB
RelAp52IkBa,RelAnp52nIkBan,Mass Action,,k1_RelAp52IkBanucImport-NFkB
RelAp52IkBb,RelAnp52nIkBbn,Mass Action,,k1_RelAp52IkBbnucImport-NFkB
RelAp52IkBe,RelAnp52nIkBen,Mass Action,,k1_RelAp52IkBenucImport-NFkB
RelAp52IkBd,RelAnp52nIkBdn,Mass Action,,k1_RelAp52IkBdnucImport-NFkB
RelAnp50nIkBan,RelAp50IkBa,Mass Action,,k1_RelAnp50nIkBannucExport-NFkB
RelAnp50nIkBbn,RelAp50IkBb,Mass Action,,k1_RelAnp50nIkBbnnucExport-NFkB
RelAnp50nIkBen,RelAp50IkBe,Mass Action,,k1_RelAnp50nIkBennucExport-NFkB
RelAnp50nIkBdn,RelAp50IkBd,Mass Action,,k1_RelAnp50nIkBdnnucExport-NFkB
RelBnp50nIkBan,RelBp50IkBa,Mass Action,,k1_RelBnp50nIkBannucExport-NFkB
RelBnp50nIkBbn,RelBp50IkBb,Mass Action,,k1_RelBnp50nIkBbnnucExport-NFkB
RelBnp50nIkBen,RelBp50IkBe,Mass Action,,k1_RelBnp50nIkBennucExport-NFkB
RelBnp50nIkBdn,RelBp50IkBd,Mass Action,,k1_RelBnp50nIkBdnnucExport-NFkB
RelBnp52nIkBan,RelBp52IkBa,Mass Action,,k1_RelBnp52nIkBannucExport-NFkB
RelBnp52nIkBbn,RelBp52IkBb,Mass Action,,k1_RelBnp52nIkBbnnucExport-NFkB
RelBnp52nIkBen,RelBp52IkBe,Mass Action,,k1_RelBnp52nIkBennucExport-NFkB
RelBnp52nIkBdn,RelBp52IkBd,Mass Action,,k1_RelBnp52nIkBdnnucExport-NFkB
cRelnp50nIkBan,cRelp50IkBa,Mass Action,,k1_cRelnp50nIkBannucExport-NFkB
cRelnp50nIkBbn,cRelp50IkBb,Mass Action,,k1_cRelnp50nIkBbnnucExport-NFkB
cRelnp50nIkBen,cRelp50IkBe,Mass Action,,k1_cRelnp50nIkBennucExport-NFkB
cRelnp50nIkBdn,cRelp50IkBd,Mass Action,,k1_cRelnp50nIkBdnnucExport-NFkB
cRelnp52nIkBan,cRelp52IkBa,Mass Action,,k1_cRelnp52nIkBannucExport-NFkB
cRelnp52nIkBbn,cRelp52IkBb,Mass Action,,k1_cRelnp52nIkBbnnucExport-NFkB
cRelnp52nIkBen,cRelp52IkBe,Mass Action,,k1_cRelnp52nIkBennucExport-NFkB
cRelnp52nIkBdn,cRelp52IkBd,Mass Action,,k1_cRelnp52nIkBdnnucExport-NFkB
RelAnp52nIkBan,RelAp52IkBa,Mass Action,,k1_RelAnp52nIkBannucExport-NFkB
RelAnp52nIkBbn,RelAp52IkBb,Mass Action,,k1_RelAnp52nIkBbnnucExport-NFkB
RelAnp52nIkBen,RelAp52IkBe,Mass Action,,k1_RelAnp52nIkBennucExport-NFkB
RelAnp52nIkBdn,RelAp52IkBd,Mass Action,,k1_RelAnp52nIkBdnnucExport-NFkB
RelAp50IkBd,RelAp50,Mass Action,,k1_IkBDeg-NFkB
RelBp50IkBd,RelBp50,Mass Action,,k1_IkBDeg-NFkB
RelBp52IkBd,RelBp52,Mass Action,,k1_IkBDeg-NFkB
cRelp50IkBd,cRelp50,Mass Action,,k1_IkBDeg-NFkB
cRelp52IkBd,cRelp52,Mass Action,,k1_IkBDeg-NFkB
RelAp52IkBd,RelAp52,Mass Action,,k1_IkBDeg-NFkB
RelAnp50nIkBan,RelAnp50n,Mass Action,,k1_IkBDeg-NFkB
RelAnp50nIkBbn,RelAnp50n,Mass Action,,k1_IkBDeg-NFkB
RelAnp50nIkBen,RelAnp50n,Mass Action,,k1_IkBDeg-NFkB
RelAnp50nIkBdn,RelAnp50n,Mass Action,,k1_IkBDeg-NFkB
RelBnp50nIkBan,RelBnp50n,Mass Action,,k1_IkBDeg-NFkB
RelBnp50nIkBbn,RelBnp50n,Mass Action,,k1_IkBDeg-NFkB
RelBnp50nIkBen,RelBnp50n,Mass Action,,k1_IkBDeg-NFkB
RelBnp50nIkBdn,RelBnp50n,Mass Action,,k1_IkBDeg-NFkB
RelBnp52nIkBan,RelBnp52n,Mass Action,,k1_IkBDeg-NFkB
RelBnp52nIkBbn,RelBnp52n,Mass Action,,k1_IkBDeg-NFkB
RelBnp52nIkBen,RelBnp52n,Mass Action,,k1_IkBDeg-NFkB
RelBnp52nIkBdn,RelBnp52n,Mass Action,,k1_IkBDeg-NFkB
cRelnp50nIkBan,cRelnp50n,Mass Action,,k1_IkBDeg-NFkB
cRelnp50nIkBbn,cRelnp50n,Mass Action,,k1_IkBDeg-NFkB
cRelnp50nIkBen,cRelnp50n,Mass Action,,k1_IkBDeg-NFkB
cRelnp50nIkBdn,cRelnp50n,Mass Action,,k1_IkBDeg-NFkB
cRelnp52nIkBan,cRelnp52n,Mass Action,,k1_IkBDeg-NFkB
cRelnp52nIkBbn,cRelnp52n,Mass Action,,k1_IkBDeg-NFkB
cRelnp52nIkBen,cRelnp52n,Mass Action,,k1_IkBDeg-NFkB
cRelnp52nIkBdn,cRelnp52n,Mass Action,,k1_IkBDeg-NFkB
RelAnp52nIkBan,RelAnp52n,Mass Action,,k1_IkBDeg-NFkB
RelAnp52nIkBbn,RelAnp52n,Mass Action,,k1_IkBDeg-NFkB
RelAnp52nIkBen,RelAnp52n,Mass Action,,k1_IkBDeg-NFkB
RelAnp52nIkBdn,RelAnp52n,Mass Action,,k1_IkBDeg-NFkB
RelAp50IkBa,IkBa,Mass Action,,k1_NFkBDeg-NFkB
RelAp50IkBb,IkBb,Mass Action,,k1_NFkBDeg-NFkB
RelAp50IkBe,IkBe,Mass Action,,k1_NFkBDeg-NFkB
RelAp50IkBd,IkBd,Mass Action,,k1_NFkBDeg-NFkB
RelBp50IkBa,IkBa,Mass Action,,k1_NFkBDeg-NFkB
RelBp50IkBb,IkBb,Mass Action,,k1_NFkBDeg-NFkB
RelBp50IkBe,IkBe,Mass Action,,k1_NFkBDeg-NFkB
RelBp50IkBd,IkBd,Mass Action,,k1_NFkBDeg-NFkB
RelBp52IkBa,IkBa,Mass Action,,k1_NFkBDeg-NFkB
RelBp52IkBb,IkBb,Mass Action,,k1_NFkBDeg-NFkB
RelBp52IkBe,IkBe,Mass Action,,k1_NFkBDeg-NFkB
RelBp52IkBd,IkBd,Mass Action,,k1_NFkBDeg-NFkB
cRelp50IkBa,IkBa,Mass Action,,k1_NFkBDeg-NFkB
cRelp50IkBb,IkBb,Mass Action,,k1_NFkBDeg-NFkB
cRelp50IkBe,IkBe,Mass Action,,k1_NFkBDeg-NFkB
cRelp50IkBd,IkBd,Mass Action,,k1_NFkBDeg-NFkB
cRelp52IkBa,IkBa,Mass Action,,k1_NFkBDeg-NFkB
cRelp52IkBb,IkBb,Mass Action,,k1_NFkBDeg-NFkB
